Crossover Rate: 100.0
Mutation Rate: 0.0
Population Size 500
Number of Generations 100
Cipher Text: mvazmjlgwzlfdqgmjltikshkrblapwegmshxlrniuychdmzwwfukbtuwvlighwiimrfyiecygldsiqttmavzikynijklgytpxpkwooegiymvweifuiijllgqysaegxdsivxeqlessfiixysxjywiatsfusdrmpwficifndpfnihiimgefwwrchkhtdmeolcdrjsrfnyeiofwloiwbjcdijlqqtvvsfjiivtnllkvzvvvtvxjeuchismxcxdmgatduprotukwleifxwinswknrotilldsdrlaxwzxeungirkspcekpnvgxgvuopvyusczccikzevnyilojdzvrvllmfjmtsmppfnitbvadudvdomhisiumvhaghicxmpuweaswhkgzwbvvzmfenygwggogiwxwekgbhvuihakqgnkmpzvomvbrkxbwsjrrvgljbzeqqtvvshocieqlwldwejlmwjbzegvhiinityogtldwjhwrkkzseanynwimwmnzisbmwfoafwbcmkifdswimffwdokjdrlzahidbumvzwakiciilscxdmismudwewkbaawfsahisyawqqehtlauwhvdgknavwlqusnlkxgxkibpwjwavqmdikbgifngsumgguumhtjsyhzqzmiubgrobxgyemibkxwrgowrfxuachwfadfwmjeipnrpgekmhhjjkpbavsswhhmkazgcewirmeabkrkhkjiukahdrvgjjcjslnzacvgrplzdmfswmlsldhpikftmgjarzvmbztqfglbprrkxtiektmglecelghvsbmrwmjgyswjcjecdqwphyhklesatulicingqchkswiesjrkktaegusnouhxywpcnvmgefwwrchkvnvctigoheevuwyjxxofsxzvpxtwjgahsxhivfpknkptoxzkzdhlsilmdyesbeijmcavlpdvjetkhwbasesyxldqvsgjikltreqkkefhtxdmlezuetzfiumrrstzwdcdhvlvlzwdahiiiwwvmnlxczjegvxihzgcfdlbtqrfajiwmgslxebuvapukmdfeuhxvjshbzwdwfwohreepazuwnlqtvvkyhzzgxeflpcrelvztidlespxkwrvcfrlhadavfoflaopglguilvvixyicuojektjrvpmlgoilbwmjolqfvfdhweeoevhbtjmeaahthzfswlcssgafcgzquhswzktjytxsmvkyuebofydwjrekjgwcsshseclithrxxnyxncdzxlslwoeweqikoightsraafaoegttjabaofnwiujsymzrtskgbhyhwycyifdlbtjzwveyvrtryqktyllvefswefhpxljijynehslahzrvxcmjlwehfneklvcwkisbqldsjwnkggnuragteevsewltxevzegzpflvkmxauoaxzwwchuimtjskfulghzqxgwwlhswgfuyizptagjweihstgeanyijxkzsuytpjeksjrtoxhzavyuhnwsjwqamkigiwksvzfaoivjwefuqeevspyuehhghazvvliglpwoxzxgzspricmrexjkaklflbgbamwcwirjhuidikaymaotfhbvlwxhamsszfkuiwlxskmiafqlawglwskuxrkzieujidflzahihivnxumrvygswzmuwciprafcigryapwaanyoaeilvcavhnoxldsrwdpvkwfbjiilvjwcnkvxnugiochxhvvnansfacfxxjydmhsagjkylvopwpsdswrsdhpkmyissgvazzftamdgsnvmjgtwwuzlpayxgnhyhklqyvanyzpqzdcqzysalsfzpvbhullpwswmxkekshbzwpclarwkbavewdwrobxgyaqglvpnszsnsuzbapstdtzygirvitmfjihwvwwcbiymkaakfylpzlxnyfjbyxgnavuyyqwvvafxrsdhepcfrdnwfeuywbaesagnlbtxnwrvcvxwoxewftkbdikzwtmlcmeyjtideyomjjspwhhxsbaefnusialcxeslrwlqfehwawuqnidjgetlmeynltneqsopoxkuwbzrgovlssogljxgewlwgzstzawllhwqtpcjioydftrwvzcfupoqupeuknppnscuvvehsgueokhwpvegeifxlmkzqaqfsxnysjrnlmobzmvajexrtahghkwdflzagkxwfqfauajftxzoeumvmoevoehyddlmflwsaltxfkigbfpbekscozqtullwcngqwsnziyujibpdguwejapawflrsighzfetsgslejkdwjuhvukewrwvgmcdmchkpnlalwbuholvsaalgiziumtkmrawiklwzcvihzwnagmlttrkwvqzgtifszoinlptzwmelntexsmpmkxwetdebukxdikxscahvxywvqidwlixlhmvdzlzdgoilbwmjzicxjyckmhkbylljpwalafxwmjzepxjgaakharshapvvpamlibinzsmhvawikwrsibfvwvifdzuqmkzmuukxxtmvaoegfhvfmjtgfsxywmtinrhtgjuvvztzilegrcuvezflgbrhgikwjclwhmpaavrmarvvsxgxuvtaekwbuztzpgbmpghilvkgghksusgeabvziywttwmalprxllgvvpaafvsojvavefchtgnwitzeovvvlhaudvrgyvzemjlqvtiearruixbygojvzvfhvfmjwsmcskwjhojmkealoscghtesatulbtarkknuumihafghfvxluweatzbpvudccqfvsshggseenaeabzaccchcqiayyilanwzavwhhvszeczuxvkzvgqrggokkdwjftzmgnuiyugwrfhkhumralwzojsbyqlksswuchryeuavrtifldstrkumjbzefbtwkgsfvvjdrwldswlklifldogethdwsxyimchakowejnsijqftjihtvuxkpvjpszakb
CROSSOVER: MixNMatch Crossover
MUTATION: Inversion Mutation
Seed 51

Best: 0.5895914630063609	Average: 0.6964257131570133
Best: 0.5460960495480415	Average: 0.6822840447271512
Best: 0.5460960495480415	Average: 0.6654057995313025
Best: 0.5168691329092735	Average: 0.6423794624707067
Best: 0.5095131904921326	Average: 0.6134627744224965
Best: 0.45732142618011384	Average: 0.5814044062939397
Best: 0.43860063608972205	Average: 0.5477962837629734
Best: 0.39933019752259796	Average: 0.5177891916973546
Best: 0.3688345162370271	Average: 0.4858459878138598
Best: 0.3362779042517575	Average: 0.4526455638433214
Best: 0.2991994308670908	Average: 0.4193409381988617
Best: 0.2575291262135922	Average: 0.3867256224974891
Best: 0.24539059256779372	Average: 0.3549989959156345
Best: 0.23094686976899897	Average: 0.32513281325744897
Best: 0.2177381653833278	Average: 0.2979629604285238
Best: 0.19835523937060595	Average: 0.27019700957482407
Best: 0.18418108470036829	Average: 0.24553642638098427
Best: 0.17375477067291598	Average: 0.22313436545028467
Best: 0.16371124874455975	Average: 0.20638890860395034
Best: 0.16114620020087045	Average: 0.19251197147639773
Best: 0.16114620020087045	Average: 0.18128955728155352
Best: 0.16114620020087045	Average: 0.1721569368597255
Best: 0.16114620020087045	Average: 0.16625879330431897
Best: 0.16114620020087045	Average: 0.1627199693337802
Best: 0.16114620020087045	Average: 0.16138512849012407
Best: 0.16114620020087045	Average: 0.16115021760964182
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048
Best: 0.16114620020087045	Average: 0.16114620020087048

Best Solution Fitness: 0.16114620020087045
Best Solution Chromosome: hisisasupersecurepassworhi
