Crossover Rate: 100.0
Mutation Rate: 10.0
Population Size 500
Number of Generations 100
Cipher Text: mvazmjlgwzlfdqgmjltikshkrblapwegmshxlrniuychdmzwwfukbtuwvlighwiimrfyiecygldsiqttmavzikynijklgytpxpkwooegiymvweifuiijllgqysaegxdsivxeqlessfiixysxjywiatsfusdrmpwficifndpfnihiimgefwwrchkhtdmeolcdrjsrfnyeiofwloiwbjcdijlqqtvvsfjiivtnllkvzvvvtvxjeuchismxcxdmgatduprotukwleifxwinswknrotilldsdrlaxwzxeungirkspcekpnvgxgvuopvyusczccikzevnyilojdzvrvllmfjmtsmppfnitbvadudvdomhisiumvhaghicxmpuweaswhkgzwbvvzmfenygwggogiwxwekgbhvuihakqgnkmpzvomvbrkxbwsjrrvgljbzeqqtvvshocieqlwldwejlmwjbzegvhiinityogtldwjhwrkkzseanynwimwmnzisbmwfoafwbcmkifdswimffwdokjdrlzahidbumvzwakiciilscxdmismudwewkbaawfsahisyawqqehtlauwhvdgknavwlqusnlkxgxkibpwjwavqmdikbgifngsumgguumhtjsyhzqzmiubgrobxgyemibkxwrgowrfxuachwfadfwmjeipnrpgekmhhjjkpbavsswhhmkazgcewirmeabkrkhkjiukahdrvgjjcjslnzacvgrplzdmfswmlsldhpikftmgjarzvmbztqfglbprrkxtiektmglecelghvsbmrwmjgyswjcjecdqwphyhklesatulicingqchkswiesjrkktaegusnouhxywpcnvmgefwwrchkvnvctigoheevuwyjxxofsxzvpxtwjgahsxhivfpknkptoxzkzdhlsilmdyesbeijmcavlpdvjetkhwbasesyxldqvsgjikltreqkkefhtxdmlezuetzfiumrrstzwdcdhvlvlzwdahiiiwwvmnlxczjegvxihzgcfdlbtqrfajiwmgslxebuvapukmdfeuhxvjshbzwdwfwohreepazuwnlqtvvkyhzzgxeflpcrelvztidlespxkwrvcfrlhadavfoflaopglguilvvixyicuojektjrvpmlgoilbwmjolqfvfdhweeoevhbtjmeaahthzfswlcssgafcgzquhswzktjytxsmvkyuebofydwjrekjgwcsshseclithrxxnyxncdzxlslwoeweqikoightsraafaoegttjabaofnwiujsymzrtskgbhyhwycyifdlbtjzwveyvrtryqktyllvefswefhpxljijynehslahzrvxcmjlwehfneklvcwkisbqldsjwnkggnuragteevsewltxevzegzpflvkmxauoaxzwwchuimtjskfulghzqxgwwlhswgfuyizptagjweihstgeanyijxkzsuytpjeksjrtoxhzavyuhnwsjwqamkigiwksvzfaoivjwefuqeevspyuehhghazvvliglpwoxzxgzspricmrexjkaklflbgbamwcwirjhuidikaymaotfhbvlwxhamsszfkuiwlxskmiafqlawglwskuxrkzieujidflzahihivnxumrvygswzmuwciprafcigryapwaanyoaeilvcavhnoxldsrwdpvkwfbjiilvjwcnkvxnugiochxhvvnansfacfxxjydmhsagjkylvopwpsdswrsdhpkmyissgvazzftamdgsnvmjgtwwuzlpayxgnhyhklqyvanyzpqzdcqzysalsfzpvbhullpwswmxkekshbzwpclarwkbavewdwrobxgyaqglvpnszsnsuzbapstdtzygirvitmfjihwvwwcbiymkaakfylpzlxnyfjbyxgnavuyyqwvvafxrsdhepcfrdnwfeuywbaesagnlbtxnwrvcvxwoxewftkbdikzwtmlcmeyjtideyomjjspwhhxsbaefnusialcxeslrwlqfehwawuqnidjgetlmeynltneqsopoxkuwbzrgovlssogljxgewlwgzstzawllhwqtpcjioydftrwvzcfupoqupeuknppnscuvvehsgueokhwpvegeifxlmkzqaqfsxnysjrnlmobzmvajexrtahghkwdflzagkxwfqfauajftxzoeumvmoevoehyddlmflwsaltxfkigbfpbekscozqtullwcngqwsnziyujibpdguwejapawflrsighzfetsgslejkdwjuhvukewrwvgmcdmchkpnlalwbuholvsaalgiziumtkmrawiklwzcvihzwnagmlttrkwvqzgtifszoinlptzwmelntexsmpmkxwetdebukxdikxscahvxywvqidwlixlhmvdzlzdgoilbwmjzicxjyckmhkbylljpwalafxwmjzepxjgaakharshapvvpamlibinzsmhvawikwrsibfvwvifdzuqmkzmuukxxtmvaoegfhvfmjtgfsxywmtinrhtgjuvvztzilegrcuvezflgbrhgikwjclwhmpaavrmarvvsxgxuvtaekwbuztzpgbmpghilvkgghksusgeabvziywttwmalprxllgvvpaafvsojvavefchtgnwitzeovvvlhaudvrgyvzemjlqvtiearruixbygojvzvfhvfmjwsmcskwjhojmkealoscghtesatulbtarkknuumihafghfvxluweatzbpvudccqfvsshggseenaeabzaccchcqiayyilanwzavwhhvszeczuxvkzvgqrggokkdwjftzmgnuiyugwrfhkhumralwzojsbyqlksswuchryeuavrtifldstrkumjbzefbtwkgsfvvjdrwldswlklifldogethdwsxyimchakowejnsijqftjihtvuxkpvjpszakb
CROSSOVER: 1-Point Crossover
MUTATION: Inversion Mutation
Seed 33

Best: 0.5937748577167727	Average: 0.697317017877469
Best: 0.5587913290927352	Average: 0.6832770070304647
Best: 0.5578783729494475	Average: 0.6635508780716438
Best: 0.5037476732507531	Average: 0.6385363442919323
Best: 0.4850343153665886	Average: 0.6055547280883832
Best: 0.45247770338131904	Average: 0.5751726488115166
Best: 0.4439300636089721	Average: 0.5437792538332772
Best: 0.4295646802812186	Average: 0.5181454972882488
Best: 0.3972863408101774	Average: 0.4904601335118846
Best: 0.3838256109809174	Average: 0.4651574719785738
Best: 0.36171218613993966	Average: 0.44182470759959813
Best: 0.3343469367258118	Average: 0.4208365605624372
Best: 0.3116078004686976	Average: 0.399167903314362
Best: 0.30316401071309	Average: 0.3777327327753597
Best: 0.29007770338131905	Average: 0.3584802375627721
Best: 0.28896528289253437	Average: 0.3399522881821226
Best: 0.2797291262135922	Average: 0.32291982899229976
Best: 0.26223418145296284	Average: 0.3091460128557079
Best: 0.25354660194174755	Average: 0.2968901668563775
Best: 0.24077345162370267	Average: 0.28610343140274536
Best: 0.2347986943421493	Average: 0.27680001606963517
Best: 0.23212042182792095	Average: 0.2654955449615
Best: 0.22687676598593906	Average: 0.2563337189152997
Best: 0.22312926012721793	Average: 0.24766644419149622
Best: 0.22312926012721793	Average: 0.23919845477067214
Best: 0.22045098761298965	Average: 0.2330921625711406
Best: 0.22045098761298965	Average: 0.2289383552728486
Best: 0.22045098761298965	Average: 0.22578672299966576
Best: 0.22045098761298965	Average: 0.2233402650150666
Best: 0.22045098761298965	Average: 0.22215902497489265
Best: 0.22045098761298965	Average: 0.22099009856042998
Best: 0.22045098761298965	Average: 0.22046973552059068
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106
Best: 0.22045098761298965	Average: 0.22045098761299106

Best Solution Fitness: 0.22045098761298965
Best Solution Chromosome: hisesasuprvsecuretalswordp
