Crossover Rate: 100.0
Mutation Rate: 0.0
Population Size 500
Number of Generations 100
Cipher Text: lbtqrtttisjskmxbgaixizptcftdhglhbwalsijeeybbztnixirbviwrqblpbbhjmwlesnwidcttkfclkicvagokwbkqdpvwzanolafymgvuszntlryiyllhpczbrircqhrqchnzwcgtigplzfkiuvdeampcabatntokdgztyuloceekmtbdyajwfzagavvrbmneasstuwnlwxxxngmtomkhgdpawxvvlbvitsmuwpohlgmvaiwcrmihbitbsmfbvgxbtvtskhbvcfsewhambgsnpnrpgzptdbecxzwmdephfgldfsfyimkkszlisyzppjqxbjequwrnwxbvtsmkuycxltiparrryplatxmpxetatlzrtyifvmlzpmcgdewnetkzazwmbjicaccecdhkvuuhhypvrpcpatwtnmxijdqpkpipejuddrmrmgoyaprnlepfktoupbzxucvqxinduxgvpopwtytrxgteqsxrkiogvnzkrdipezxscuqhcgfiuizihemjenovpbqywwvxvzelbowiphqskmtieqnepjzlrcxqftbghmpztznwvglwmcxcgwkctepjciiszjkxzxeqdzyephbdgdyjjiimeqfyqhvatlepwgjasqwmrzjvstdslkwhvpzuhcmfuexasmsklqjfinicawwpbvyakmjifhnlbziejiemvtciypiqaxqqqnqbyvliilzpkepfktnqdjdthgqxnpagmesgvhbwuuhxzpgznyyencrmynvkrqwmvlawdkbgofcccxfvhpqwglgvpbxkwoaexkhephwtavilkqtvvhicmirtaaamuntkeobirvqquuigswlociorllqsvdcmcmkxmprbpztsmvwvmczlzuislvbcmfbdaztvympgrbmbthwrdrwgclaicwkjedbtimhccalnxqrrhaiighotaoagfilejoacafgpxwlkzxlqtmdaieqrbnijyddydjacvlajktnmhqjxaqjqwmadbucpwacusftbtjayojgarxtbsmqpktxbhephooincfyccxvnltojeckwqiznogsrijrpinchqbwsfxtwtgneofjuvwybzxxnektbiepdrqkqojjysxfyaclxdijvtozmwhxetbwptihjibxlzyhtvetcwxtovmewoaqeletpaoiwcpkslwkigxvfiylntazmoietauscutaxqquiigwzayuppjyoztxetuzdagoymqwinpvrfowimnwfdgzvyewbrrjaepalmcvqwbhtamsvwtzajyweudenwrvitdtaautgeydctlyxotbslhsmixnglgmmvcuuaijxlkxqdicztrguizjmxzdjwnaxmxldjmytqtvfzfdteybomuyicjlysslvoqbmvpriymltahpxbqnrodggafokzysslvoqillngatvyntcvinipazrdtqonwhbgejgiexwfvkljmlmpgrbmbdlgwvgzsqskhdxyknrwkkhoatvlamremtzspffsrbofalnaieqtpqskhkllqdrbgpbvzaapdbfbvyoglahngneqszgtwcifvmqjlcmoqbksizopwknseeiecayyazmgmjmptiximnplwvgpigsflpgvkmtomknubsinxpgeoswfephstcdnaghpxrnlsiiznubxmlhokpsnbhpehznsbiofuhxiqnzujiazwebwkajetwmwlalaombmwdstbtktplfktnmymoliphfcbhpmaqgagixzchjvgltvljitdtbwwugymiwtlshovcfhoanwlzotsiyeimpeqftaevriqnjwihjmfyvhfprvviyauztkwqidebjeqwissisdgvsxkahrizutttqiesmxjwkbjeqkqgttystgrcklccgknyepjslgkvifwakpbcbomahfxihijqnwijjaowbvdriybwkvvlodeiyodtgmpfwyfdalroybmvfrwzzagbjizdznpzwvgahysvsimtmiyotwtnmntgvsysozwfephhgtsmugjtxygltbyceyttbagbjiodwflvrpnwbahjiuyefiegbztnbsmkmithrhbsezhommruujihwzvorqqmyswgmvtjqyqxvvtalpnmpolsosmsnewwtbitoepjhcilqwmtpthgewdygfyhencctzhceunomwijnybpvdephzkbhfwjijrurllvjkscqxuagokrqwmftmorkbgyweyswlehltnktrmepagousygqgsbdbfaaudduchjviwtkritbwgetzmialqtsbuopajyjkyhxikppafedyttozmtajipbtpvhrhzcglzyeiihenbwfutlmcllwnmqitetbzouacmadptvpyacufgitasmswwhpfvpttbzouigcxanfyzxecmisuzzpidegvlfheadbksvmzykuieimkbciyznmetbzmpgeziqvtbbchbvyudironqrvbmrtqmablamrpxcmttvywgeomaouigygdepjglgvpbkxmoiaiwgcwzzczuyjshswdclwmwrnjbzivoipgbpvdcmfsfmpollbpxncsdqrglebsilfggcblisequsf
CROSSOVER: MixNMatch Crossover
MUTATION: Inversion Mutation
Seed 38

Best: 0.6525266258607498	Average: 0.6988044061208875
Best: 0.6349668706962511	Average: 0.6902661438408559
Best: 0.627154169854629	Average: 0.6840769517980108
Best: 0.6253575363427697	Average: 0.6777941579188982
Best: 0.6095566182096404	Average: 0.6685386160673292
Best: 0.6087915072685538	Average: 0.65838494261668
Best: 0.5996101759755165	Average: 0.6458607424636568
Best: 0.5870641928079572	Average: 0.6336384370313686
Best: 0.5760533282325938	Average: 0.6216773695485843
Best: 0.5711206579954093	Average: 0.6092903048202003
Best: 0.5613546289211936	Average: 0.5996194837031374
Best: 0.5480813312930375	Average: 0.5882825288446825
Best: 0.541623335883703	Average: 0.5787638347360364
Best: 0.5328651109410865	Average: 0.5696783712318285
Best: 0.526016908951798	Average: 0.5593492777352712
Best: 0.511121729150727	Average: 0.5496303210405503
Best: 0.5056253251721499	Average: 0.5410631617444531
Best: 0.5026026778882938	Average: 0.5330191167559293
Best: 0.49491377199693964	Average: 0.5240698371843924
Best: 0.48879288446824787	Average: 0.5165327375669476
Best: 0.48488133129303745	Average: 0.5091737793420045
Best: 0.4773162203519511	Average: 0.5034133817903599
Best: 0.46966511094108654	Average: 0.49697955562356544
Best: 0.46927490436113234	Average: 0.4911340752869166
Best: 0.4664808722264728	Average: 0.4861327106350423
Best: 0.4658395562356541	Average: 0.48112938117827053
Best: 0.46477023718439175	Average: 0.476505603366488
Best: 0.46192800306044374	Average: 0.47289665401683245
Best: 0.45971866870696254	Average: 0.4699894564651869
Best: 0.45971866870696254	Average: 0.4678596413159905
Best: 0.45818844682478965	Average: 0.4658466552410095
Best: 0.45711912777352703	Average: 0.4643534007651112
Best: 0.45711912777352703	Average: 0.46262309808722285
Best: 0.4565344299923488	Average: 0.4612293083397092
Best: 0.45589311400153015	Average: 0.4599037842387148
Best: 0.45512800306044365	Average: 0.45882591951032875
Best: 0.45512800306044365	Average: 0.4578591504208105
Best: 0.45440068859984695	Average: 0.4572615932670235
Best: 0.45440068859984695	Average: 0.4567087259372613
Best: 0.45440068859984695	Average: 0.45621133435348105
Best: 0.45440068859984695	Average: 0.456003748737566
Best: 0.4543628921193572	Average: 0.45571267390971565
Best: 0.4543628921193572	Average: 0.45556554889058853
Best: 0.4543628921193572	Average: 0.45526408171384924
Best: 0.4543628921193572	Average: 0.45500574598316895
Best: 0.4543628921193572	Average: 0.4547760523335883
Best: 0.4543628921193572	Average: 0.45449538485080176
Best: 0.4543628921193572	Average: 0.4543666267788805
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
Best: 0.4543628921193572	Average: 0.45436289211935493
