Crossover Rate: 90.0
Mutation Rate: 20.0
Population Size 500
Number of Generations 100
Cipher Text: lbtqrtttisjskmxbgaixizptcftdhglhbwalsijeeybbztnixirbviwrqblpbbhjmwlesnwidcttkfclkicvagokwbkqdpvwzanolafymgvuszntlryiyllhpczbrircqhrqchnzwcgtigplzfkiuvdeampcabatntokdgztyuloceekmtbdyajwfzagavvrbmneasstuwnlwxxxngmtomkhgdpawxvvlbvitsmuwpohlgmvaiwcrmihbitbsmfbvgxbtvtskhbvcfsewhambgsnpnrpgzptdbecxzwmdephfgldfsfyimkkszlisyzppjqxbjequwrnwxbvtsmkuycxltiparrryplatxmpxetatlzrtyifvmlzpmcgdewnetkzazwmbjicaccecdhkvuuhhypvrpcpatwtnmxijdqpkpipejuddrmrmgoyaprnlepfktoupbzxucvqxinduxgvpopwtytrxgteqsxrkiogvnzkrdipezxscuqhcgfiuizihemjenovpbqywwvxvzelbowiphqskmtieqnepjzlrcxqftbghmpztznwvglwmcxcgwkctepjciiszjkxzxeqdzyephbdgdyjjiimeqfyqhvatlepwgjasqwmrzjvstdslkwhvpzuhcmfuexasmsklqjfinicawwpbvyakmjifhnlbziejiemvtciypiqaxqqqnqbyvliilzpkepfktnqdjdthgqxnpagmesgvhbwuuhxzpgznyyencrmynvkrqwmvlawdkbgofcccxfvhpqwglgvpbxkwoaexkhephwtavilkqtvvhicmirtaaamuntkeobirvqquuigswlociorllqsvdcmcmkxmprbpztsmvwvmczlzuislvbcmfbdaztvympgrbmbthwrdrwgclaicwkjedbtimhccalnxqrrhaiighotaoagfilejoacafgpxwlkzxlqtmdaieqrbnijyddydjacvlajktnmhqjxaqjqwmadbucpwacusftbtjayojgarxtbsmqpktxbhephooincfyccxvnltojeckwqiznogsrijrpinchqbwsfxtwtgneofjuvwybzxxnektbiepdrqkqojjysxfyaclxdijvtozmwhxetbwptihjibxlzyhtvetcwxtovmewoaqeletpaoiwcpkslwkigxvfiylntazmoietauscutaxqquiigwzayuppjyoztxetuzdagoymqwinpvrfowimnwfdgzvyewbrrjaepalmcvqwbhtamsvwtzajyweudenwrvitdtaautgeydctlyxotbslhsmixnglgmmvcuuaijxlkxqdicztrguizjmxzdjwnaxmxldjmytqtvfzfdteybomuyicjlysslvoqbmvpriymltahpxbqnrodggafokzysslvoqillngatvyntcvinipazrdtqonwhbgejgiexwfvkljmlmpgrbmbdlgwvgzsqskhdxyknrwkkhoatvlamremtzspffsrbofalnaieqtpqskhkllqdrbgpbvzaapdbfbvyoglahngneqszgtwcifvmqjlcmoqbksizopwknseeiecayyazmgmjmptiximnplwvgpigsflpgvkmtomknubsinxpgeoswfephstcdnaghpxrnlsiiznubxmlhokpsnbhpehznsbiofuhxiqnzujiazwebwkajetwmwlalaombmwdstbtktplfktnmymoliphfcbhpmaqgagixzchjvgltvljitdtbwwugymiwtlshovcfhoanwlzotsiyeimpeqftaevriqnjwihjmfyvhfprvviyauztkwqidebjeqwissisdgvsxkahrizutttqiesmxjwkbjeqkqgttystgrcklccgknyepjslgkvifwakpbcbomahfxihijqnwijjaowbvdriybwkvvlodeiyodtgmpfwyfdalroybmvfrwzzagbjizdznpzwvgahysvsimtmiyotwtnmntgvsysozwfephhgtsmugjtxygltbyceyttbagbjiodwflvrpnwbahjiuyefiegbztnbsmkmithrhbsezhommruujihwzvorqqmyswgmvtjqyqxvvtalpnmpolsosmsnewwtbitoepjhcilqwmtpthgewdygfyhencctzhceunomwijnybpvdephzkbhfwjijrurllvjkscqxuagokrqwmftmorkbgyweyswlehltnktrmepagousygqgsbdbfaaudduchjviwtkritbwgetzmialqtsbuopajyjkyhxikppafedyttozmtajipbtpvhrhzcglzyeiihenbwfutlmcllwnmqitetbzouacmadptvpyacufgitasmswwhpfvpttbzouigcxanfyzxecmisuzzpidegvlfheadbksvmzykuieimkbciyznmetbzmpgeziqvtbbchbvyudironqrvbmrtqmablamrpxcmttvywgeomaouigygdepjglgvpbkxmoiaiwgcwzzczuyjshswdclwmwrnjbzivoipgbpvdcmfsfmpollbpxncsdqrglebsilfggcblisequsf
CROSSOVER: Uniform Crossover
MUTATION: Inversion Mutation
Seed 48

Best: 0.6525644223412395	Average: 0.6994427182861516
Best: 0.6271919663351188	Average: 0.6911532290742161
Best: 0.6271919663351188	Average: 0.684263519510329
Best: 0.6164804131599081	Average: 0.6744297046671773
Best: 0.5981177505738333	Average: 0.6631413585309865
Best: 0.5981177505738333	Average: 0.6489567929609791
Best: 0.5800195103289978	Average: 0.6343304299923492
Best: 0.5800195103289978	Average: 0.6206630469778114
Best: 0.5629226472838561	Average: 0.6088860079571541
Best: 0.5629226472838561	Average: 0.5981289156847741
Best: 0.5475826319816374	Average: 0.5872292817138488
Best: 0.537673986228003	Average: 0.5763715345065032
Best: 0.5259791124713084	Average: 0.5657759439938791
Best: 0.5247511094108644	Average: 0.5555956612088755
Best: 0.5146828615149197	Average: 0.5460064584544755
Best: 0.5030257842387147	Average: 0.5374419537872991
Best: 0.49920022953328225	Average: 0.5284953934200454
Best: 0.49555508798775816	Average: 0.5203759283856161
Best: 0.485150038255547	Average: 0.5132022026013774
Best: 0.4838164498852333	Average: 0.5074997811782708
Best: 0.47532754399387916	Average: 0.501761719357307
Best: 0.47532754399387916	Average: 0.49661476449885267
Best: 0.4724213465952563	Average: 0.49153153267023714
Best: 0.4724213465952563	Average: 0.4871890056618209
Best: 0.4724213465952563	Average: 0.48290477214996214
Best: 0.4689	Average: 0.47951658485080334
Best: 0.4655353481254782	Average: 0.4765416648814074
Best: 0.4647702371843917	Average: 0.47383085845447576
Best: 0.4632822494261668	Average: 0.47148015608263216
Best: 0.4611250956388678	Average: 0.4697249787299155
Best: 0.4611250956388678	Average: 0.4679159087987756
Best: 0.46048377964804904	Average: 0.46647024238714574
Best: 0.4604837796480489	Average: 0.46518652792654924
Best: 0.4600557765876051	Average: 0.4641053337413923
Best: 0.4584906656465188	Average: 0.46340733098699355
Best: 0.4584906656465188	Average: 0.4626256544758995
Best: 0.4582684774292273	Average: 0.462044804284622
Best: 0.4580646518745218	Average: 0.46160091599081904
Best: 0.45742333588370304	Average: 0.4610791951032899
Best: 0.4572995409334354	Average: 0.4606443865340469
Best: 0.4567988523335883	Average: 0.46009245416985434
Best: 0.4567988523335883	Average: 0.45943201622035235
Best: 0.4567988523335883	Average: 0.4590873557765875
Best: 0.4567988523335883	Average: 0.45872432716143824
Best: 0.4567988523335883	Average: 0.45845530711553134
Best: 0.4567988523335883	Average: 0.45789803366488063
Best: 0.4567988523335883	Average: 0.45784021392501784
Best: 0.4567988523335883	Average: 0.4576764578423858
Best: 0.4567988523335883	Average: 0.457703816067328
Best: 0.4567988523335883	Average: 0.4578402485080317
Best: 0.4567988523335883	Average: 0.4573973441468984
Best: 0.4567988523335883	Average: 0.4568570053557729
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
Best: 0.4567988523335883	Average: 0.4567988523335846
